0.87832105,0.87273945, 0.88256307, 0.87874051, 0.88253685
0.86313909,0.853762 ,  0.86738111 ,0.85998213, 0.86199196
0.88747488, 0.87809779, 0.88836794, 0.87784725, 0.88410004
0.88792141,0.87832105, 0.89372628 ,0.88231353 ,0.88432336
0.89149364, 0.88434919, 0.89863809, 0.88722644 ,0.88923627
0.88993079, 0.88345613, 0.89640545, 0.88878964 ,0.88834301
0.89305649, 0.88792141, 0.89908462, 0.88767307, 0.88744975
0.89037732, 0.88591203, 0.89819156, 0.8834301 , 0.88365342
0.88993079, 0.88501898, 0.89573566, 0.88633318, 0.88566324
0.88836794, 0.88323286, 0.89327975, 0.88521661, 0.88365342
0.89015405, 0.88434919, 0.89082384, 0.88543993, 0.88320679
0.89015405, 0.88211654, 0.89104711, 0.88387673, 0.88119696
0.89037732, 0.88367939, 0.88702835, 0.88432336, 0.87985708
0.88836794, 0.88256307, 0.88524224, 0.88209022, 0.87874051
0.88658183, 0.88390266, 0.88725162, 0.88276016, 0.87829388
0.88814468, 0.88233981, 0.88702835, 0.88030371, 0.87606074
0.88702835, 0.88144675, 0.88702835, 0.88097365, 0.87673068
0.88546551, 0.88122349, 0.88412592, 0.87941045 ,0.87516749
0.88501898, 0.88167002, 0.8861353 , 0.88209022 ,0.87472086
0.88233981, 0.8805537 , 0.88568877, 0.8785172 , 0.87315766
0.88167002, 0.87854432, 0.88256307, 0.87896382, 0.87360429
0.88167002, 0.87809779, 0.88256307, 0.87740063, 0.87449754
0.8805537,  0.87787453, 0.88122349, 0.88008039 ,0.87472086
0.87943737, 0.87541862, 0.87876758, 0.88052702 ,0.87360429
0.87943737, 0.87698147, 0.87966064, 0.87717731 ,0.87047789
0.87966064, 0.87519536, 0.88122349, 0.8753908  ,0.87092452
0.88144675, 0.87631168, 0.8805537 , 0.87494417 ,0.87003126
0.87921411, 0.87363251, 0.87899085, 0.87494417 ,0.86690487
0.87832105, 0.87296271, 0.87809779, 0.87315766 ,0.86891469
